|   ID | total |                                                                           param |      local      |      global     |       compiles |         time |          J |  GFLOP/s |     GFLOP/watt |            status |
x------x-------x---------------------------------------------------------------------------------x-----------------x-----------------x----------------x--------------x------------x----------x----------------x-------------------x
|  111 |   578 |    0   32   16   32    8    8    8    8    2    4    1    0    0    0    0    1 |       8       8 |    1024    2048 |   OK      9 ms |     27.64 ms |       5.43 |   4971.8 |           25.3 |     results match |
|  112 |   578 |    0   32   16   32    8    8    8    8    2    4    1    0    0    1    1    1 |       8       8 |    1024    2048 |   OK     10 ms |     27.68 ms |       5.48 |   4964.3 |           25.1 |     results match |
|  113 |   578 |    0   32   16   32    8    8    8    8    2    4    2    0    0    0    0    1 |       8       8 |    1024    2048 |   OK     10 ms |     24.42 ms |       4.81 |   5627.4 |           28.6 |     results match |
|  114 |   578 |    0   32   16   32    8    8    8    8    2    4    2    0    0    1    1    1 |       8       8 |    1024    2048 |   OK      9 ms |     26.24 ms |       5.21 |   5237.1 |           26.4 |     results match |
|  115 |   578 |    0   32   16   32    8   16    8   16    2    1    1    0    0    0    0    1 |       8      16 |    1024    4096 |   OK      9 ms |     47.34 ms |       9.34 |   2902.8 |           14.7 |     results match |
|  116 |   578 |    0   32   16   32    8   16    8   16    2    1    1    0    0    1    1    1 |       8      16 |    1024    4096 |   OK      9 ms |     44.09 ms |       8.77 |   3117.1 |           15.7 |     results match |
|  117 |   578 |    0   32   16   32    8   16    8   16    2    2    1    0    0    0    0    1 |       8      16 |    1024    4096 |   OK      9 ms |     37.20 ms |       7.33 |   3694.4 |           18.8 |     results match |
|  118 |   578 |    0   32   16   32    8   16    8   16    2    2    1    0    0    1    1    1 |       8      16 |    1024    4096 |   OK     10 ms |     39.16 ms |       7.72 |   3509.4 |           17.8 |     results match |
|  119 |   578 |    0   32   16   32    8   16    8   16    2    4    1    0    0    0    0    1 |       8      16 |    1024    4096 |   OK      9 ms |     36.38 ms |       7.15 |   3777.1 |           19.2 |     results match |
|  120 |   578 |    0   32   16   32    8   16    8   16    2    4    1    0    0    1    1    1 |       8      16 |    1024    4096 |   OK      9 ms |     37.15 ms |       7.38 |   3699.5 |           18.6 |     results match |
|  121 |   578 |    0   32   16   32   16    8   16    8    2    1    1    0    0    0    0    1 |      16       8 |    2048    2048 |   OK     10 ms |     46.20 ms |       9.14 |   2974.2 |           15.0 |     results match |
|  122 |   578 |    0   32   16   32   16    8   16    8    2    1    1    0    0    1    1    1 |      16       8 |    2048    2048 |   OK      9 ms |     38.37 ms |       7.57 |   3581.5 |           18.2 |     results match |
|  123 |   578 |    0   32   16   32   16    8   16    8    2    1    2    0    0    0    0    1 |      16       8 |    2048    2048 |   OK     11 ms |     36.79 ms |       7.27 |   3734.8 |           18.9 |     results match |
|  124 |   578 |    0   32   16   32   16    8   16    8    2    1    2    0    0    1    1    1 |      16       8 |    2048    2048 |   OK     10 ms |     31.59 ms |       6.27 |   4350.5 |           21.9 |     results match |
|  125 |   578 |    0   32   16   32   16    8   16    8    2    2    1    0    0    0    0    1 |      16       8 |    2048    2048 |   OK      8 ms |     39.70 ms |       7.81 |   3461.1 |           17.6 |     results match |
|  126 |   578 |    0   32   16   32   16    8   16    8    2    2    1    0    0    1    1    1 |      16       8 |    2048    2048 |   OK      9 ms |     30.02 ms |       5.91 |   4578.2 |           23.3 |     results match |
|  127 |   578 |    0   32   16   32   16    8   16    8    2    2    2    0    0    0    0    1 |      16       8 |    2048    2048 |   OK      9 ms |     32.33 ms |       6.38 |   4250.6 |           21.5 |     results match |
